language_code,language_name,language_synonym,thesaurus_heading_language,thesaurus_heading_people,approximate_latitude_of_language_variety,approximate_longitude_of_language_variety,state_territory,uri,category
E32,GOORENG GOORENG,"Gureng Gureng, Goeng, Koreng Goreng, Taribulung, Tulua, Corine, Curang Curang, Curang gurang, Goonine, Goorang Goorang, Gurang, Gurang Gurang, Kooranga, Koreng, Koreng Koreng, Korenggoreng, Korrengkorreng, Korrlup, Kuriny, Kurranga, Maroonee, Meeroni, Meerooni, Qualup tribe, Warangu, Wide Bay tribe, Yamma, YungkonoCaracterrup, Goreng Goreng, Curanggurang, Guranggurang, Gooranggorang, Gurenggureng, Koreng koreng, Gureng gureng Curang gurang, Gurang gurang, Goorang goorang",Gooreng Gooreng language E32,Gooreng Gooreng people E32,-24.90480069,151.790315,QLD,https://collection.aiatsis.gov.au/austlang/language/e32,Unique
E33,Taribelang ,"Gureng Gureng, Taribulung, Goeng, Koreng Goreng, Tulua, Daribelum, Darpil, Ginginburra, Taribeleng, Tarribelung, Wokka, Wokkari, Yawai, Yawaim, Daribalang >Goeng goeng, Daribalang",Taribelang language E33,Taribelang people E33,-24.80733136,152.0388992,QLD,https://collection.aiatsis.gov.au/austlang/language/e33,Unique
E35,Gungabula ,"Kongabula, Gongabula, Khungabula, Khungabulal, Kungalburra, Ongabula",Gungabula language E35,Gungabula people E35,-25.59957324,148.6437252,QLD,https://collection.aiatsis.gov.au/austlang/language/e35,Unique
E36,Goeng Goeng ,"Guweng Guweng, Coonine, Goeng, Maroonee, Meeroni, Daribalang >Goeng goeng, Goonine, Guweng, Yungkono, GurangGurang, Meerooni, Wide Bay tribe, Yamma",Goeng Goeng language E36,Goeng Goeng people E36,-24.26688582,151.6816877,QLD,https://collection.aiatsis.gov.au/austlang/language/e36,Unique
E37,Bidjara / Bidyara,"Pitjara, Bidjera, Bithara, Bitjara, Minkabari, Peachera, Peechera, Pitteroo, Wilya, Bitharra",Bidjara / Bidyara language E37,Bidjara / Bidyara people E37,-24.90318659,147.1213069,QLD,https://collection.aiatsis.gov.au/austlang/language/e37,Unique
E38,Garaynbal,"Garanjbal, Garingbal, Karingbal, Kainbul, Kaingbul, Kanalloo, Kanoloo, Kanolu, Karingbool, Karranbal, Karranbal; man",Garaynbal language E38,Garaynbal people E38,-23.33016135,149.1337003,QLD,https://collection.aiatsis.gov.au/austlang/language/e38,Unique
E39,Wadjigu,"Wadja, Wadju, Maudalgo, Wadjainggo, Waindjago, Wainggo, Wainjago, Wainjigo, Wadya, Watjigu",Wadjigu language E39 ,Wadjigu people E39,-24.80852364,148.5733526,QLD,https://collection.aiatsis.gov.au/austlang/language/e39,Unique
E4,Ngaku ,"Ngaagu, Dainggatti, Dainggati, Dhan gadi, Dunghutti, Thungutti, Ngagu, Niungacko",Ngaku language E4,Ngaku people E4,-31.06953469,152.9340119,NSW,https://collection.aiatsis.gov.au/austlang/language/e4,Unique
E40,Gangulu ,"Kaangooloo, Kangulu, Kanolu, Cangoolootha, Gangu, Kangalo, Kangool lo, Khangalu, Kongalu, Konguli, Kongulu, Khang, Ghangulu, Ghungalu, Ka ngool lo",Gangulu language E40,Gangulu people E40,-24.18606975,150.151432,QLD,https://collection.aiatsis.gov.au/austlang/language/e40,Unique
E41,Tulua ,"Dappil, Gureng Gureng, Goeng, Koreng Goreng, Taribulung, Dulua, Toolooa, Dandan, Narung",Tulua language E41,Tulua people E41,-24.38985217,150.9990002,QLD,https://collection.aiatsis.gov.au/austlang/language/e41,Unique
E42,Baiali,"Bayali, Byellee, Bajali, Bayelle, Biele, Bieli, Byelle, Byellel, Orambul, Urambal",Baiali language E42,Baiali people E42,-23.64369074,150.8852368,QLD,https://collection.aiatsis.gov.au/austlang/language/e42,Unique
E43,Yagalingu ,"Jagalingu, Wadjalinggu, Auanbura, Kokleburra, Owanburra, Kowanburra, Wagalbara, Wakelbara, Wakelburra, Wakelbura",Yagalingu language E43,Yagalingu people E43,-23.156858,146.6329386,QLD,https://collection.aiatsis.gov.au/austlang/language/e43,Unique
E44,Gayiri ,"Kairi, Bimurraburra, Gahrarja, Kararya, Kari, Khararya, Khararya; Kaira Gara Gara, Ara Ara, man",Gayiri language E44,Gayiri people E44,-23.79398017,147.8977311,QLD,https://collection.aiatsis.gov.au/austlang/language/e44,Unique
E45,Gabulbarra ,"Gabulbara, Gabalbara, Kabalbara, Kabelbara, Kaiabara, Yettimaralla, Gabelbara, none",Gabulbarra language E45,Gabulbarra people E45,-22.86863759,148.7252279,QLD,https://collection.aiatsis.gov.au/austlang/language/e45,Unique
E46,DARUMBAL ,"Darambal, Bayali, Darumbal, Jetimarala, Kooinmurburra, Ningebul, Taroombul, Warrabul, Yetimaralla, Dharumbal, Tharumbal, Darawal, Tarumbal, Tarumbul, Charumbul, Ta rum bal, Tarrombal, Tarambol, Tarm bal, Warabal, Warrabal, Ningebal, Rockhampton dialect, Bauwi warra",Darumbal language E46,Darumbal people E46,-22.71568351,150.0600456,QLD,https://collection.aiatsis.gov.au/austlang/language/e46,Unique
E47,Wangan ,"Wierdi, Wan gan, Babbinburra",,,-22.79716328,147.6085897,QLD,https://collection.aiatsis.gov.au/austlang/language/e47,Unique
E48,Baradha ,"Barada, Thar ar ra burra, Tha ra ra burra, Toolginburra, man",Baradha language E48,Baradha people E48,-21.98238387,148.9252572,QLD,https://collection.aiatsis.gov.au/austlang/language/e48,Unique
E49,Guwinmal,"Kuinmabara, Kungalburra, Gunmal, Koi, Koinbal, Kooinmerburra, Kuinmurbura, Kungmal, Kweembul, Kwiambal, Kwigalburra, Mamburra, Queenbullaquieumble, Gunymal, Gonjmal, Kuinmur bura, Koinjmal",Koinjmal / Guwinmal language E49,Koinjmal / Guwinmal people E49,-22.2796681,149.7961573,QLD,https://collection.aiatsis.gov.au/austlang/language/e49,Unique
E5,Ngambaa ,"Ngaku, Niungacko, Ngamba, Ngambarr, Ngambar, Ngeunbah",Ngambaa language E5,Ngambaa people E5,-30.81513541,152.8904795,NSW,https://collection.aiatsis.gov.au/austlang/language/e5,Unique
E50,Miyan ,"Mian, Koombokkaburra, Munkibura, Munkieburra, Oncooburra, Pegulloburra, Wokkelburra, Wokkulburra, Peghullaburra, Woccullaburra, Monkeyburra, Pegullo burra",Miyan language E50,Miyan people E50,-21.812523,146.1838164,QLD,https://collection.aiatsis.gov.au/austlang/language/e50,Unique
E51,Yambina ,"Jambina, Jampa:l, Jampal, MutholburraNarboo Murre, Yambeena, Narboo Murre, Muthoburra",Yambina language E51,Yambina people E51,-22.31402258,147.4752732,QLD,https://collection.aiatsis.gov.au/austlang/language/e51,Unique
E52,Yangga ,"Jangga, Yanga, Durroburra, Dorobura",Yangga language E52,Yangga people E52,-20.92842179,147.2562885,QLD,https://collection.aiatsis.gov.au/austlang/language/e52,Unique
E53,Baranha,"Barna, Ba:na, Parnabal, Barnya",Baranha language E53,Baranha people E53,-22.080577,148.198529,QLD,https://collection.aiatsis.gov.au/austlang/language/e53,Unique
E55,Yilba ,"Ilba, Eneby, Jilba, Moothaburra, Mungera, Mungerra, Munkeeburra, Pagulloburra, Pegulloburra, Yakaburra, Yuckaburra, Yukkaburra, Yuckaburra  this is a local group name, Mootha burra",Yilba language E55,Yilba people E55,-20.76682112,146.0479805,QLD,https://collection.aiatsis.gov.au/austlang/language/e55,Unique
E56,Biri^ ,"Birigaba, Biria, Wiri, Biragaba, Birri Gubba, Biriaba, Breeaba, Perembba, Perenbba",Biri language E56,Biri people E56,-20.50810089,147.9886074,QLD,https://collection.aiatsis.gov.au/austlang/language/e56,Unique
E57,Wiri ,"Wirri, Widi, Biri, Biria, Gongolo, Widi, Wierdi, Wirdi, Witi",Wiri language E57,Wiri people E57,-21.29857522,148.7037816,QLD,https://collection.aiatsis.gov.au/austlang/language/e57,Unique
E58,Giya ,"Bumbarra, Gia, Ngaro, Ngaru, Bumbara, Bumburra Burra, Kia, Bumburra",Giya language E58,Giya people E58,-20.40181799,148.4629209,QLD,https://collection.aiatsis.gov.au/austlang/language/e58,Unique
E59,Ngaro ,"Giya, Ngaro/Ngaru, Gia, Ngaru, Googaburra, Ngalangi, Nguro, Island tribe",Ngaro language E59,Ngaro people E59,-20.29547471,148.9347367,QLD,https://collection.aiatsis.gov.au/austlang/language/e59,Unique
E6,Dhanggati / Dunghutti^,"Dunghutti, Dhanggatti, Djan gadi, Thangatti, Dyangadi, Dainggatti, Dainggati, Dhan gadi, Ngaku, Thungutti, Dangadi, Danggetti, Dhangatty, Thangatty, Dangati, Tangetti, Burgadi, Boorkutti, Dhanggadi, da?ati, Djangadi, Dunggudi, Thungatti, Djaingadi, Dang getti, Danghetti, Danggadi, Dhang atty, Yuungai, Yunggai, Tang gette, Burugardi, Nulla Nulla, Amberu, Himberrong, Jang, Yung, Dhunggutti, Dhunghutti",Dhanggati / Dunghutti language E6,Dhanggati / Dunghutti people E6,-30.90641545,152.4169227,NSW,https://collection.aiatsis.gov.au/austlang/language/e6,Unique
E60,Gudjal,"Warungu, Gudjala, Gudjali, Koochul bura, Kutjala",Gudjal language E60,Gudjal people E60,-19.70754326,145.4359956,QLD,https://collection.aiatsis.gov.au/austlang/language/e60,Unique
E61,Bindal ,"Lower Burdekin, Nyawaygi, Bendalgubber, Bindel, North Murri",Bindal language E61,Bindal people E61,-19.56356855,147.1105586,QLD,https://collection.aiatsis.gov.au/austlang/language/e61,Unique
E62,Yuru ,"Mouths of the Burdekin River, Nyawaygi, Arwur angkana, Euronbba, Juru, Mal Mal, Malmal, South Murri, Arwur angkana",Yuru language E62,Yuru people E62,-19.82716687,147.6745532,QLD,https://collection.aiatsis.gov.au/austlang/language/e62,Unique
E63,Yetimarala / Yetimarla,"Bayali, Darumbal, Jetimarala/Yetimaralla, Jetimarala, Kooinmurburra, Ningebul, Taroombul, Warrabul, Yetimaralla, Ja:mba, Yaamba, Yetti maralla, Taruin bura",Yetimarala language E63,,-22.8938418,149.4836174,QLD,https://collection.aiatsis.gov.au/austlang/language/e63,Unique
E64,Ganulu,"Kanolu, Kanoloo, Kanalloo",Ganulu language E64,,-23.65544718,149.0109623,QLD,https://collection.aiatsis.gov.au/austlang/language/e64,Unique
E65,Mandalgu ,,Mandalgu language E65,,-24.46598501,149.3824338,QLD,https://collection.aiatsis.gov.au/austlang/language/e65,Unique
E66,Yugarabul ,Yuggarabul,Yugarabul language E66,Yugarabul people E66,-27.27760979,153.0252578,QLD,https://collection.aiatsis.gov.au/austlang/language/e66,Unique
E67,Gathang^,"Gadjang, Kattang, Worimi, Gadhang, Gadang, Molo, Bahree, Karrapath, Carapath, Warrangine, Wannungine, Birrbay, Warrimay",Gathang language E67,Gathang people E67,-31.98263684,152.4155795,NSW,https://collection.aiatsis.gov.au/austlang/language/e67,Unique
E68,Ngarbal ,"Ngarabal, Yugambal, Kwiambal, Ngarrabul/ Ngoorabul/ Ngarbu, Ngarabul, Ngarrabul, Narbul, Marbul, Ngrapol",Ngarbal language E68,,-29.5277933,151.7814606,NSW,https://collection.aiatsis.gov.au/austlang/language/e68,Unique
E7,Gumbaynggirr,"Gumbaynggir, Kumbainggar, Gumbainggir, Baanbay, Banbai, Gamlamang, Jiegera, Kumbainggiri, Yaygir, Yuungay, Bellingen tribe, Bellinger tribe, Cambanggarie, Coombagoree, Coombangree, Coombargaree, Coombyngara, Coombyngura, Coombyugura, Cumbainggar, Guinbainggiri, Gumbainggirr, Gumbainga, Gumbainggar, Gumbanga, Gumbanggar, Gumbanggeri, Gumbanjaree, Gumbayngir, Gunbainygar, Kombaingheri, Kombinegherry, Koombabgghery, Koombainga, Koombanggary, Koombanggherry, Koombangi, Kumbaingeri, Kumbainggeri, Kumbainggir, Kumbainggirri, Kumbaingir, Kumbangerai, Nimboy, Orara, Woolgoolga, Koombangghery, Kumbanggerri, Koombanggaree, Kumbainggerri, Kumbinggeri, Kumbanggar, Kom baingheri, Coombyn gura, Gumbaigar, Gunbaigar, Gumbaingar, Kumbangar",Gumbaynggirr language E7,Gumbaynggirr people E7,-30.08764301,152.4456876,NSW,https://collection.aiatsis.gov.au/austlang/language/e7,Unique
E70,Burrgati,"Dyangadi, Burgadi, Burugadi",Burrgati language E70,,-30.42236063,151.9407368,NSW,https://collection.aiatsis.gov.au/austlang/language/e70,Unique
E72,Birihn,Biriin,Birihn language E72,,-29.0479589,152.8588681,NSW,https://collection.aiatsis.gov.au/austlang/language/e72,Unique
E73,Casino language,,Casino language E73,,-28.85403056,152.9873744,NSW,https://collection.aiatsis.gov.au/austlang/language/e73,Unique
E75,Nyangbal ,Njangbal,Nyangbal language E75,,-28.92150486,153.4217926,NSW,https://collection.aiatsis.gov.au/austlang/language/e75,Unique
E76,Mununjali ,"Yugambal, Manaldjali, Manaldjahli, Mununjali, Munaljali",,Mununjali people E76,-28.12654313,152.9146985,QLD,https://collection.aiatsis.gov.au/austlang/language/e76,Unique
E77,Nerang Creek  ,Kombumerri,Nerang Creek language E77,Nerang Creek people E77,-28.08259432,153.2407725,NSW,https://collection.aiatsis.gov.au/austlang/language/e77,Unique
E78,Nganduwal ,"Ngahnduwal, Gurgun Mibinyah",Nganduwal language E78,Nganduwal people E78,-28.35155366,153.303607,NSW,https://collection.aiatsis.gov.au/austlang/language/e78,Unique
E79,Ngarahgwal ,"Ngara:ngbal, Ngarangbal, Gurgun Mibinyah, Ngarahngwal, Kombumerri ",Ngarahgwal language E79,Ngarahgwal people E79 ,-27.88614455,153.327907,NSW,https://collection.aiatsis.gov.au/austlang/language/e79,Unique
E8,Baanbay ,"Kumbainggar, Gumbainggir, Baanbay/Banbai, Banbai, Gamlamang, Jiegera, Kumbainggiri, Yaygir, Yuungay, Ahnbi, Babnbi, Baanbay Ahnbi, Dandai, Bahnbi",Baanbay language E8,Baanbay people E8,-30.05901234,152.1110868,NSW,https://collection.aiatsis.gov.au/austlang/language/e8,Unique
E80,Wehlubal ,"Baryulgil, Wiribi",Wehlubal language E80,Wehlubal people E80,-29.22442551,152.5517802,NSW,https://collection.aiatsis.gov.au/austlang/language/e80,Unique
E81,Jarowair ,"Barunggam, Djakunda, Giabal, Yarrowair, Yarow wair, Yarrow Wair",Jarowair language E81,,-27.21168959,151.6777654,QLD,https://collection.aiatsis.gov.au/austlang/language/e81,Unique
E82,Wapabara ,Woppaburra,Wapabara language E82,,-23.19138657,150.9668473,QLD,https://collection.aiatsis.gov.au/austlang/language/e82,Unique
E83,Rakiwara ,,Rakiwara language E83,,-23.06916223,150.7806859,QLD,https://collection.aiatsis.gov.au/austlang/language/e83,Unique
E84,Karunbara ,,Karunbara language E84,,-23.53207334,150.1000323,QLD,https://collection.aiatsis.gov.au/austlang/language/e84,Unique
E85,Gambalamam ,Crowley,Gambalamam language E85,,-30.37844644,152.6714792,NSW,https://collection.aiatsis.gov.au/austlang/language/e85,Unique
E86,Turrbal ,"Turrbal, Thurawal, Turrubul, Durubulic, Jagara, Undanbi, Turrbul, Turrabul, Toorbal, Tarabul, Jagarabal, Jergarbal, Yagara, Yaggara, Yuggara, Yugg ari, Yackarabul, Turrbal, Turrubal, Terabul, Tor bul, Turibul, Yerongban, Yeronghan, Ninghi, Yerongpan, Biriin for Jagara, Undumbi, Oondumbi, Mooloola, Churrabool, Djindubari, Djuadu bari, Jooaduburrie, Bo oobera, Dippil for Undanbi",Turrbal language E86,Turrbal people E86,-27.50740343,153.0519336,QLD,https://collection.aiatsis.gov.au/austlang/language/e86,Unique
E87,Dungibara ,"Waka Waka, Bujiebara, Dungidau, Garumga, Garumngar, Kaiabara, Dalla, Doongibarra, Doongiburra",,,-27.20096995,152.5522455,QLD,https://collection.aiatsis.gov.au/austlang/language/e87,Unique
E88,Garumngar ,"Waka Waka, Bujiebara, Dungibara, Dungidau, Garumga, Kaiabara, Dalla, Garumu?ar, Garumnga, Garumgma",Garumngar language E88,,-27.35303324,152.6951351,QLD,https://collection.aiatsis.gov.au/austlang/language/e88,Unique
E89,Wuli Wuli,"Wuli Wuli, Wuliwuli, Wuli wuli, Wulili, Wilili, Wililililee, Willillee, Wulli Wulli, Wulilli",Wulli Wulli language E89,,-25.30333447,150.6355846,QLD,https://collection.aiatsis.gov.au/austlang/language/e89,Unique
E9,Yunggaya,"Gumbainggir, Yuungay, Baanbay, Banbai, Gamlamang, Jiegera, Kumbainggiri, Yaygir, Ju:ngai, Yiegera, Jeigir, Yegera, Youngai, Jungai",Yunggaya language E9,Yunggaya people E9,-29.46378932,153.2157736,NSW,https://collection.aiatsis.gov.au/austlang/language/e9,Unique
E90,Nalbo ,"Gubbi Gubbi, Dallambara, Dowarbara, Dulingbara, Kabi Kabi, Undanbi, Dalla, Ngalbu, Njalbo, Nalboo",,,-26.76927823,152.885895,QLD,https://collection.aiatsis.gov.au/austlang/language/e90,Unique
E91,Marbal ,,Marbal language E91,,-29.11350479,151.8740972,NSW,https://collection.aiatsis.gov.au/austlang/language/e91,Unique
E92,Ngarabal ,,Ngarabal language E92,,-29.48567462,152.6828852,NSW,https://collection.aiatsis.gov.au/austlang/language/e92,Unique
E95,Guringay ,"Gringai, Gathang, Guringai",Guringay language E95,Guringay people E95,-32.51345793,151.699335,NSW,https://collection.aiatsis.gov.au/austlang/language/e95,Unique
G1,Wangkamanha / Wankamadla,"Lhanima, Tharlimanha, Wangga Manha, Wangkamana, Julaolinja, Lanima, Rungarungawa, Wangka yutjuru, Wongkadjera, Ju:lanja, Ju:lanji, Jura, Talimana, U la linya, U la linye, U lay linye, Ulaolinja, Ulaolinya, Uluonga, Wanggamala, Wanggamanha Wangkamana, Wanggamana, Wonggaman, Wonggawan, Wongkamala, Wonkamala, Wonkamudla, Yoolanlanya, Wangkamadla, Wanggamanha",Wangkamanha / Wankamadla language G1,Wangkamanha / Wankamadla people G1,-24.33080067,137.4244147,"NT,QLD",https://collection.aiatsis.gov.au/austlang/language/g1,Shared
G10,Warluwarra^ ,"Warluwara, Warluwarra, Waluwara, Didjadidja, Elookera, Kapula, Maula, Maule, Mauula, Pangara, Panggara, Paringgara, Walgra, Wallawarra, Waloo kera, Walookera, Walugara, Walugera, Walukara, Wlookera, Wolga, Wollegara, Wollegarra, Yannalinka, Yunnalinka, Warluwarra Bularnu",Warluwarra language G10,,-21.76218641,138.4285574,QLD,https://collection.aiatsis.gov.au/austlang/language/g10,Unique
G12,Ayerrerenge ,"Bularnu, Jaroinga, Yaroinga, Jaroinga; Jurangka, Manda, Yaringa, Yarroinga, Yarrowin, Yorrawinga, Jaroinga; Jarionga, Yaro inga, Yarrowinga, Juruwinga, Yaruwinga, Ayerrerenge, Yorrowinga, Yuruwinga, Yaruwinga, Bulanja, Bulanu, Jarionga, Jurangka, Pulanja, Ayerrereng, Arandic",Ayerrerenge language G12,Ayerrerenge people G12,-21.39381083,137.4154269,QLD,https://collection.aiatsis.gov.au/austlang/language/g12,Unique
G12.1,Bularnu,"Warluwarra Bularnu, Yindjilandji, Bulanu, Manda, Pulanja, Bulanja",Bularnu language G12.1,Bularnu people G12.1,-20.65668866,138.2747458,"NT,QLD",https://collection.aiatsis.gov.au/austlang/language/g12.1,Shared
G13,Kalkatungu / Kalkadoon,"Kalkutungu, Kalkutung, Kalkutungu, Calcadoon, Galgadung, Galgadunga, Galgadungu, Kalkadoona, Kalkadun, Kalkadung, Kalkadunga, Kalkaladoona, Kalkatongo, Kalkatunga, Kulkadoon, Kulkadoona, Kulkodone, Mantaba, Roongkari, Rungkari, Kalka donna",Kalkatungu / Kalkadoon language G13,Kalkatungu / Kalkadoon people G13,-20.88651298,139.8900199,QLD,https://collection.aiatsis.gov.au/austlang/language/g13,Unique
G14,Indjilandji ,"Yindjilandji, Indjilandji; Inchalachee, Inchalanchee, Indjilindji, Indjurandji, Indkilindji, Injilinji, Intjilatja, Indjilinji; Inchalachee, Indilandji, Indjilinji, Gulbilangu, Inchalanchi, Indjiladji, Injeelanjee, Intyilatya, Intjilantji; Gulbilangu, Inchilachee, Inchalachee, Indjillnji, Yinjilanji",Indjilandji language G14,Indjilandji people G14,-19.32705207,137.4623768,"NT,QLD",https://collection.aiatsis.gov.au/austlang/language/g14,Shared
G15,Wakabunga ,"Workoboongo, Kabikabi, Wagabunga, Waggaboonyah, Waggabundi, Wake bunge, Wakobungo, Waukaboonia, Workabunga, Wakapunga, Worgabunga, Wurgabunga",Wakabunga language G15,Wakabunga people G15,-19.53889197,139.0648189,QLD,https://collection.aiatsis.gov.au/austlang/language/g15,Unique
G16,Mayi-Thakurti / Mitakoodi,"Maykulan, Mittakoodi, Taithakari, agurdi, Maidakadi, Maidhagari, Maidhaggaria, Maidhagudi, Maioakui, Maioakuri, Maitakeidi, Maitakudi, Maithagudi, Maithakari, Maithakudi, Majadhagudi, Mayatagoori, Mayatagoorri, Maydhagurdi, Maytagoori, Mit, Mitagurdi, Mitakudi, Mitrogoordi, Mitroogoordi, Mittagurdi, Mittaka, Mythaguddi, Mythergoody, Mythugadi, Mythuggadi, Mayadhagurdi, Mayidhagurdi, Maithakuri, Maithakui",Mayi-Thakurti / Mitakoodi language G16,Mayi-Thakurti / Mitakoodi people G16,-19.94687087,140.6895015,QLD,https://collection.aiatsis.gov.au/austlang/language/g16,Unique
G16.1,Wunumara ,"Maykulan, Wunamara, Oonoomurra, Wanamara, Quippen bura, Unamara, Woonamurra, Woonomurra, Wunamora",Wunumara language G16.1,Wunumara people G16.1,-20.91311258,141.8532552,QLD,https://collection.aiatsis.gov.au/austlang/language/g16.1,Unique
G17,Ngawun ,"Ngewin, Naungaun, Nga:wun, Ngaon, Ngaun, Nounun, Nouun",Ngawun language G17,Ngawun people G17,-19.80268514,141.9628637,QLD,https://collection.aiatsis.gov.au/austlang/language/g17,Unique
G19,Nguburinji,"Nguburindi, Ganggalida, Naungaun, Nga:wun, Ngoborindi, Ngoboringi, Ngoborundji, Nounun, Nouun, Obor indi, Oborindi, Oboroondi, Ngorborundji",Nguburinji language G19,Nguburinji people G19,-18.53363767,139.0357774,QLD,https://collection.aiatsis.gov.au/austlang/language/g19,Unique
G20,Mayi-Yapi ,"Maykulan, Maijabi, Maiabi, Maippe, Majabi, Mayapi, Mayappe, Miappe, Miappi, Miubbi, Miulbi, Myabi, Myappa, Myappe, Mayabi, Miuibi",Mayi-Yapi language G20,Mayi-Yapi people G20,-19.07564608,140.4472208,QLD,https://collection.aiatsis.gov.au/austlang/language/g20,Unique
G21,Mbara ,"Ambara, Mitjamba, Balgalu, Bargal",Mbara language G21,Mbara people G21,-19.84989287,143.3951331,QLD,https://collection.aiatsis.gov.au/austlang/language/g21,Unique
G23,Waanyi ,"Waanji, Garawa, Wanyi, Wanyee, Wanee, Waangyee, Wonyee",Waanyi language G23,Waanyi people G23,-18.31324164,137.6208706,"NT,QLD",https://collection.aiatsis.gov.au/austlang/language/g23,Shared
G24,Mayi-Kutuna ,"Mayaguduna, Maikudunu, Marago, Mayi Yali, Maigudina, Maigudung, Maikudung, Mayagudunu, Maygudan, Mygoodan, Maikudun, Mikoodoono, Mygoodano, Mayagoondoon, Mika doon, Mikoolun",Mayi-Kutuna language G24,Mayi-Kutuna people G24,-19.12082465,139.8962502,QLD,https://collection.aiatsis.gov.au/austlang/language/g24,Unique
G25,Mayi-Kulan ,"Maykulan, Mayi kulan, Maikulan, Maigudina, Maigudung, Maigulung, Maikolon, Maikudun, Maikudung, Maikudunu, Maikulung, Makulu, Mayagoondoon, Mayagulan, Mayhulan, Miccoolin, Micoolan, Mikadoon, Mikkoolan, Mikoodoono, Mikoolun, Mycoolon, Mygoodan, Mygoodano, Mygoolan, Mykoolan, Mykulau, Mykoo lan",Mayi-Kulan language G25,Mayi-Kulan people G25,-18.78035758,141.8124153,QLD,https://collection.aiatsis.gov.au/austlang/language/g25,Unique
G26,Mingginda,"Minkin, Mingin, Min Gin, Mingir, Minikin, Myngeen",Mingginda language G26,Mingginda people G26,-18.022513,139.5527314,QLD,https://collection.aiatsis.gov.au/austlang/language/g26,Unique
G28,Kukatj ,"Gugadj, Kalibamu, Marago, Gudadj, Gudadji, Gugady, Gugatj, Kokatj, Kukatji, Gugadji, Kukatja, Kukatyi, Konggada",Kukatj language G28,Kukatj people G28,-18.13210146,140.3651155,QLD,https://collection.aiatsis.gov.au/austlang/language/g28,Unique
G29,Gundara ,"Kok Narr, Kok Nhang, Kundar, Koknar, Gog nar, Kwantar, Kokinari, Koko Nar, Koko Nari, Kokonari, Kuk Nar, Kuku Nar, Kwanthar, Kok  Nar, Gugu Nar, Gugu Nhang, Kwantari, Gog Nar, Kundara, Kuantari, Goondarra, Wangara, Wanggara, Kokowanggara, Kokawan gar, Kokatabul, Kokodaue, Koko daua, Oikand",Gundara language G29,Gundara people G29,-16.05243479,141.8155884,QLD,https://collection.aiatsis.gov.au/austlang/language/g29,Unique
G3,Kunkalanya ,"Kunkalanja, Pitta Pitta, Kungkalenya, Kunkulenje, Koonkoolenya, Koomkoolenya, Koon kalinga, Koonkalinye",Kunkalanya language G3,Kunkalanya people G3,-23.6376703,139.2879856,QLD,https://collection.aiatsis.gov.au/austlang/language/g3,Unique
G31,Gkuthaarn,"Kuthant, Karaldi, Gudanda, Gudhanda, Gudhand, Guandhar, Kareldi, Karundi, Karunti, Kurandi, Ka rantee, Karrandi, Karrandee, Gar und yih, Karun, Gooran, Kotanda, Kutanda, Goothanto",Gkuthaarn language G31,Gkuthaarn people G31,-17.36881657,141.1150622,QLD,https://collection.aiatsis.gov.au/austlang/language/g31,Unique
G33,Kurtjar ,"Gunggara, Gurdjar, Kunggara, Araba, Areba, Rib, Cudjeral, Curjur, Gilbert River tribe, Goom gharra, Gunggara, Koonkurri, Kortyera, Kuritjari, Kutjar, Ungorri, Kurrtjarr, Kurtijar",Kurtjar language G33,Kurtjar people G33,-16.74729771,141.4175524,QLD,https://collection.aiatsis.gov.au/austlang/language/g33,Unique
G34,Yukulta / Ganggalidda ,"Lardil, Yakula, Jugul, Jugulda, Jogula, Jokala, Jokul, Jokal, Iukala, Yukula, Yookala, Eugoola, Jungulda, Kanggaleida, Yangarella, Engarilla, Gangulida, Kangkalita",Yukulta / Gangalidda language G34,Yukulta / Gangalidda people G34,-17.34123181,138.7513171,QLD,https://collection.aiatsis.gov.au/austlang/language/g34,Unique
G35,Kayardild ,"Gayardilt, Kaiadilt, Bentinck Islanders, Gaiardilt, Gaja, dilt, Gajadild, Gajardild, Gajardilt, Gaya, Gayadilt, Kaiadil, Kaiadilt Madunun, Maldanunda, Malununda, Malununde, Mardunung, Marlanunda, Gayardild, Guyadilt, Madunun, Kayardilt, Kaiadild",Kayardild language G35,Kaiadilt people G35,-17.03057864,139.4892236,QLD,https://collection.aiatsis.gov.au/austlang/language/g35,Unique
G36,Walangama ,"Bugulmara, Karan, Wahlongman, Wallankammer, Wallenkammer, Wollangama, Wollongurmee, Wallan kammer",Walangama language G36,Walangama people G36,-17.88573416,141.9347315,QLD,https://collection.aiatsis.gov.au/austlang/language/g36,Unique
G37,Yangkaal ,"Gananggalinda, Balumbant, Janggal, Janggaral, Janggaralda, Janggura, Mangaralda, Nemarang, Njangga:l, Jangaralda",Yangkaal language G37,Gananggalinda people G37,-16.90490667,138.9811434,QLD,https://collection.aiatsis.gov.au/austlang/language/g37,Unique
G38,Lardil ,"Lardiil, Layardilda, Damin, Demin, Demiin, Gunana, Jungarl, Kare wa, Kunana, La:dil, Ladil, Laierdila, Lardi:i, Lardill, Leedil, Mornington Island tribe, Nemarang",Lardil language G38,Lardil people G38,-16.56431398,139.4588913,QLD,https://collection.aiatsis.gov.au/austlang/language/g38,Unique
G4,Rakaya ,"Pitta Pitta, Rakkaia, Rukkia",Rakaya language G4,Rakaya people G4,-23.42426015,140.1372183,QLD,https://collection.aiatsis.gov.au/austlang/language/g4,Unique
