"language_code","language_name","language_synonym","thesaurus_heading_language","thesaurus_heading_people","approximate_latitude_of_language_variety","approximate_longitude_of_language_variety","state_territory","uri"
"D35","Guyambal ","Ngarabal, Kwiambal, Yugambal, Cambooble, Gambabwal, Gwaimbal, Kaoambal, Kwaimbal, Koi, Kweembul, Quieumble, Queenbulla","Guyambal language D35","Guyambal people D35","-29.340515876202","151.24860194364","NSW,QLD","https://collection.aiatsis.gov.au/austlang/language/d35"
"D36","Geynyan ","Gee en yun, Gee enyun, Keinjan, Wawpa, Geinjan, Geinyan, Gheeannun, Keinyan, Warwick dialect","Geynyan language D36","Geynyan people D36","-28.183476133671","152.1836091392","QLD","https://collection.aiatsis.gov.au/austlang/language/d36"
"D37","Gunggari ","Kunggari, Congaro, Coongurri, Goon garee, Goongurri, Gungari, Kogai, Kogurre, Kokaburra, Koongerri, Koonkerri, Koonkurri, Kungeri, Kungri, Kunkari, Kunngkari, Kuungkari, Ngaragari, Tarawalla, Torraburri, Ungerri, Unggari, Unggri, Unghi, Ungorri, Yangeberra, Yangeeberra, Yangeeburra, Yankibura, Yankiburra, Gungar, Nebine Gunggari","Gunggari language D37","Gunggari people D37","-27.368098481067","146.96021241013","QLD","https://collection.aiatsis.gov.au/austlang/language/d37"
"D38","KOGAI ","Benhedore, Jabulajabula, Kogai, Narinari, Ngarimawuru, Yabula Yabula, Yabulayabula, Gogai, Mandandanji, Kunggari, Barunggam, Mundaeinbura, Mundainbara, Cogai, Fishing Net people, Unggari, Kungeri, Kungri, Ungorri, Gungari, Gunggari, Goon garree, Coongurri, Unggri, Unghi, Congaro, Kogurre, Ngaragari, Barungam, Parrungoom, Murrumgama, Murrun gama, Murrumningama","Kogai language D38","Kogai people D38","-27.423378593172","147.94222355884","QLD","https://collection.aiatsis.gov.au/austlang/language/d38"
"D39","Gawambaraay ","Coo in bur ri, Gawambarai, Ginniebal, Goinberai, Guinberai, Guinbrai, Juwalarai, Kawambarai, Kawamparai, Koinbere, Koinberi, Koinberri, Kwambarai""Mole tribe"", Mooran Mooran, Waholari, Walarai, Walari, Warlarai, Weraerai, Weraiari, Wiraiarai, Wirra:arai, Wirri Wirri, Wirriri, Wirriwirri, Wolaroi, Wolaroo, Wolleri, Wolroi, Woolaroi, Wooratherie, Gawambaray, Goin berai, Mole tribe","Gawambaraay language D39","Gawambaraay people D39","-28.621930704733","150.32489560325","NSW,QLD","https://collection.aiatsis.gov.au/austlang/language/d39"
"D4","Wadi Wadi ","Wati Wati, Biangil, Dacournditch, Darty Darty, Nimp mam wern, Ta ta thi, Ta tathi, Taa tatty, Tar tarthee, Tatatha, Tataty, Tatitati, Tunggut, Wadiwadi, Wathiwathi, Wathi Wathi, Watiwati, Wattewatte, Watthiwatthi, Watty watty, Wattywatty, Withaija, Woani, Wodiwodi, Wohdi Wohdi, Woonyi, Wotowotti, Wotti wotti, Wottowotti, Watte, Watte Watte, Watte watte, Wotte Wotte, Watty Watty, Wot te Wot te, Wa thi wa thi, Wati wati, Wathi wathi, Ouotti Ouotti, Wathie Waithie, Wattee Wattee, Wathi Watthi, Watthi watthi, Watthi Watthi, Watty tribe, Wattu Wattu, Waddi Waddi","Wadi Wadi language D4","Wadi Wadi people D4","-35.086643095474","143.37045705255","NSW,VIC","https://collection.aiatsis.gov.au/austlang/language/d4"
"D40","Barunggam ","Wakawaka, Barunggama, Barungam, Parrungoom, Murrumgama, Murrun gama, Murrumningama, Kogai, Gogai, Cogai","Barunggam language D40","Barunggam people D40","-26.795066410177","150.44677287026","QLD","https://collection.aiatsis.gov.au/austlang/language/d40"
"D41","Giabal ","Barunggam, Djakunda, Jarowair, Gomaing guru, Gomainggura, Gitabal/Kitabal, Gomaingguru, Gitabal, Paiamba, Giyabal","Giabal language D41","Giabal people D41","-27.690382408466","151.75553008536","QLD","https://collection.aiatsis.gov.au/austlang/language/d41"
"D42","Margany","Marrganj, Maranganji, Maranj, Marganj, Marnganji, Marukanji, Murgoan, Murgoin, Murngain, Marngany, Mardigan ","Margany language D42","Margany people D42","-27.2729476198","144.57741054857","QLD","https://collection.aiatsis.gov.au/austlang/language/d42"
"D43","Gunya ","Gunja, Kunja, Kunya, Gu:nja, Kurnja","Gunya language D43","Gunya people D43","-26.784742672206","146.16134361506","QLD","https://collection.aiatsis.gov.au/austlang/language/d43"
"D44","Mandandanji ","Mandandanjdji, Mandandanyi, Mandandandji, Manandanyi, Mundaeinbura, Mundainbara, Kogai, Cogai, Fishing Net people, Maranoa Gunggari, Eastern Gunggari","Mandandanji language D44","Mandandanji people D44","-27.017654125538","148.50172738516","QLD","https://collection.aiatsis.gov.au/austlang/language/d44"
"D45","Wadjalang / Dharawala","Dharawala, Nguri, Wadjelang, Wadjalany","Wadjalang / Dharawala language D45 ","Wadjalang / Dharawala people D45","-25.63531758302","145.27186654615","QLD","https://collection.aiatsis.gov.au/austlang/language/d45"
"D46","Nguri ","Gnoree, Ngoorie, Njoorie","Nguri language D46","Nguri people D46","-25.60232388078","147.80237722303","QLD","https://collection.aiatsis.gov.au/austlang/language/d46"
"D47","PaaRuntyi ","Paaruntyi, Paakantyi, Barundji, Naualko, Parundji, Baarundji, Paruindji, Paruindi, Paruinji, Pa roinge, Barungi, Barinji, Bahroonjee, Baroongee, Bahroongee, Barrengee, Parooinge, Barunga","PaaRuntyi language D47","PaaRuntyi people D47","-29.458222632844","144.31458964109","NSW","https://collection.aiatsis.gov.au/austlang/language/d47"
"D48","Parrintyi ","Paakantyi, Barrindji, Bandjigali, Barindji, Barundji, Paruindi, Paruinji, Parooinge, Barungi, Barinji, Bahroonjee, Barongee, Barrengee, Barunga, Berri ait, Paru, Paroo, Bpaaroo, Bpaaroon jee","Parrintyi language D48","","-32.81793803849","143.52710583976","NSW","https://collection.aiatsis.gov.au/austlang/language/d48"
"D49","Kungakuri ","Gungaguri","","","-29.105452818179","146.39520769076","NSW,QLD","https://collection.aiatsis.gov.au/austlang/language/d49"
"D5","Barababaraba ","Baraba Baraba, Baraba baraba, Baraparapa, Barappur, Bareber Bareber, Barraba barraba, Barrababarraba, Birraba birraba, Boora boora, Boorabirraba, Booraboora, Boort, Burabura, Burappa, Burapper, Burrabura ba, Burraburburaba, Burreba burreba, Karraba, Beraba Beraba, Berrapper dialect, Barrappur, Baraber, Boraipar, Boora Boora, Lower Loddon tribe, Boort tribe","Barababaraba language D5","Barababaraba people D5","-35.673702896047","144.61137635412","NSW,VIC","https://collection.aiatsis.gov.au/austlang/language/d5"
"D50","Nuntukuri ","Nunduguri","","","-29.871731092888","145.95244183475","NSW,QLD","https://collection.aiatsis.gov.au/austlang/language/d50"
"D51","Purukuri ","Buruguri/Baderugali","","","-29.720394875821","144.26646237685","NSW,QLD","https://collection.aiatsis.gov.au/austlang/language/d51"
"D52","Thinuntu ","Dhindundu","","","-29.839282822512","146.32568318367","NSW,QLD","https://collection.aiatsis.gov.au/austlang/language/d52"
"D53","Kuntakuri ","Gundaguri","","","-29.297269569361","146.90787753214","NSW,QLD","https://collection.aiatsis.gov.au/austlang/language/d53"
"D54","Yuwaalayaay ","Yuwaaliyaay, Euahlayi, Kamilaroi, Gamilaroi, Guyinbaray, Juwalarai, Ualarai, Walarai, Weraerai, Wirajarai, Yuwaalaraay, Yualyai, Ualari, Yualarai, Uollaroi, Yualai, Yerraleroi, Yuwalyay, Yualeai, Yualloroi, Yowaleri, Youallerie, Yualari, Yowairi, Yuolary, Eu ahlayi, Yourilri, Youahlayi, Jualjai, Juwaljai, Yuwalyai, Wallarai, Wolleroi, Walleri, Woleroi, Wollaroi, Gingi, Brewarrana tribe","Yuwaalayaay language D54","Yuwaalayaay people D54","-29.604408334401","147.54034422807","NSW","https://collection.aiatsis.gov.au/austlang/language/d54"
"D55","Waalaraay ","Walaraay, Kamilaroi, Walarai, Euahlayi, Gamilaroi, Guyinbaray, Juwalarai, Ualarai, Weraerai, Wirajarai","","","","","NSW,QLD","https://collection.aiatsis.gov.au/austlang/language/d55"
"D56","Muringam ","Wakawaka, Barungam, Barunggam, Cogai, Gogai, Kogai, Murrumgama, Murrumningama, Murrungama, Parrungoom, Murrum ningama","","","","","","https://collection.aiatsis.gov.au/austlang/language/d56"
"D57","Weraeria ","Wirairai, Wallaroi, Wolroi, Walro, Wolaroi, Wullaroi","","","","","","https://collection.aiatsis.gov.au/austlang/language/d57"
"D58","Jeithi ","Yeidthee, Pikkolatpan","Jeithi language D58","","-35.512010168756","145.98132255486","NSW","https://collection.aiatsis.gov.au/austlang/language/d58"
"D59","Milpulo ","Danggali, Milpulko, Mailpurlgu, Mamba","Milpulo language D59","","-31.808487851526","142.41416574849","NSW","https://collection.aiatsis.gov.au/austlang/language/d59"
"D6","Marrawarra ","Paakantyi, Marawara, Maraura, Bandjigali, Berlko, Berri ait, Ilaila, Mara:wara, Mareaura, Mareawura, Marewera, Maroura, Marowera, Marowra, Marraa Warree, Waimbio, Wiimbaio, Wiimbo, Wimbaja, Jakajako, Yaakoyaako, Waimbo, Wiimpaya, Mare aura, Beriko","Marrawarra language D6","Marrawarra people D6","-33.666362899319","141.44864580426","NSW,SA","https://collection.aiatsis.gov.au/austlang/language/d6"
"D6.1","Kureinji ","Keramin, etc, Gureinji, Karin, Kerinma, Karinma, Karingma, Orangema, Kemendok, Pintwa, Gure:ndji, Gurendji, Kureinyi, Kareingi, Ka rinma, Grangema, Garnghes, Kinenekinene, Kianigane, Jungeegatchere","Kureinji language D6.1","Kureinji people D6.1","-34.23140408313","142.42165314347","NSW","https://collection.aiatsis.gov.au/austlang/language/d6.1"
"D60","Wirriwirri","Wiriwiri","","","","","","https://collection.aiatsis.gov.au/austlang/language/d60"
"D61","Southern Paakantyi ","Paakantyi, Baagandji, Darling, Southern Baagandji, Bagundji, Barkindji, Barkinji, Barkungee, Bahkunji, Bahkunjy, Parkungi, Parkengee, Bakanji, Bakandi, Bargunji, Southern Bagundji, Barkinjee, Barkunjee, Pakindji, Pa:kindzi, Bakandji, Barkinghi, Par kengee, Parkingee, Bagandji, Bpaagkon jee, Kurnu, Kkengee, Kornoo, Kaiela","Southern Paakantyi language D61","","-32.72158778043","142.56509973385","NSW","https://collection.aiatsis.gov.au/austlang/language/d61"
"D62","Canberra language ","Nyamudy","Canberra language D62","","-35.47495743535","148.99849573155","ACT","https://collection.aiatsis.gov.au/austlang/language/d62"
"D63","Northern Dharawal","Geawegal, Gwegal, Gwiyagal, Gweagal, Guyagal","Northern Dharawal language D63","Gweagal people D63","","","","https://collection.aiatsis.gov.au/austlang/language/d63"
"D64","Northern Anaiwan","","Northern Anaiwan language D64","","-30.127552320636","151.47627148348","NSW","https://collection.aiatsis.gov.au/austlang/language/d64"
"D65","Wirraayaraay ","Wiraiari, Weraerai, Wiraiarai, Weraiari, Wirri Wirri, Wirraarai, Warlarai, Wolroi, Wolleri, Waho lari, Wolaroo, Walarai, Juwalarai, Walari, Wolaroi, Woo laroi, Ginniebal, Mooran Mooran","Wirraayaraay language D65","","-32.098396244094","148.5865299881","NSW","https://collection.aiatsis.gov.au/austlang/language/d65"
"D66","Wirraay-Wirraay ","Wirayaraay, Wiriwiri, Wiri Wiri, Weraerai, Wirraiarai, Wiraiarai, Weraiari, Wirri Wirri, Wirraarai, Warlarai, Wolroi, Wolleri, Waho lari, Wolaroo, Walarai, Juwalarai, Walari, Wolaroi, Woo laroi, Ginniebal, Mooran Mooran","Wirraay-Wirraay language D66","","-28.219526919058","148.19709698836","QLD","https://collection.aiatsis.gov.au/austlang/language/d66"
"D67","Wadi Wadi (Piangil)","","Wadi Wadi (Piangil) language D67","","","","","https://collection.aiatsis.gov.au/austlang/language/d67"
"D68","Burabura","","Burabura language D68","","","","","https://collection.aiatsis.gov.au/austlang/language/d68"
"D69","Himberrong","","Himberrong language D69","","","","","https://collection.aiatsis.gov.au/austlang/language/d69"
"D7","Yitha Yitha ","Jitu Jitu, Yida Yida, Bayangil, Eetha Eetha, Eethanaeetha, Eethee Eethee, Eethie Eethie, i7a Yida, Ita ita, Itaiithi, Itaita, Ithi ithi, Iti iti, Jida Jida, Jitajita, Tjuop, Yetho, Yit tha, Yitha, Yitsa, Ithiithi, Eethaeetha, Yitayita","Yitha Yitha language D7","Yitha Yitha people D7","-33.873186078177","143.94091280464","NSW","https://collection.aiatsis.gov.au/austlang/language/d7"
"D70","Inuwon","","Inuwon language D70","","","","","https://collection.aiatsis.gov.au/austlang/language/d70"
"D71","Galali","","Galali language D71","","","","","https://collection.aiatsis.gov.au/austlang/language/d71"
"D8","Mutti Mutti / Muthi Muthi","Madhi Madhi, Madi Madi, Bakiin, Mataua, Matimati, Matthee matthee, Moorta Moorta, Mudhi Mudhi, Muthimuthi, Muti muti, Muttee Muttee, Madimadi, Mutte Mutte, Madi madi, Kulin","Mutti Mutti / Muthi Muthi language D8","Mutti Mutti / Muthi Muthi people D8","-33.753156051553","142.72174530242","NSW","https://collection.aiatsis.gov.au/austlang/language/d8"
"D9","Nari Nari ","Narinari, none","Nari Nari language D9","Nari Nari people D9","-34.418687133543","144.4000270644","NSW","https://collection.aiatsis.gov.au/austlang/language/d9"
"E1","Geawegal ","Garewagal, Geawagal, Geawe gal, Gweagal, Gweawegal, Gwegal, Keawaikal, Keawekal, Kawawaykal","Geawegal language E1","Geawegal people E1","-32.519798571807","151.21169696793","NSW","https://collection.aiatsis.gov.au/austlang/language/e1"
"E10","Yaygirr^","Kumbainggar, Gumbainggir, Jiegera/Yaygir, Baanbay, Banbai, Gamlamang, Jiegera, Kumbainggiri, Yaygir, Yuungay, Jeigir, Ji:gara, Jireigir, Jungai, Yaegl, Yegera, Yegir, Yiegera, Youngai","Yaygirr language E10","Yaegl people E10","-29.686722970453","153.18784362556","NSW","https://collection.aiatsis.gov.au/austlang/language/e10"
"E11","Yugambal ","Yugambal: Ngarrabul, Ngarrbal, Ngarabal, Kwiambal, Jugambal, Jukambal, Jukambil, Marbul, Narbul, Ngarabul, Ngarrabul, Pregalgh, Ucumble, Ukumbil, Yacambal, Yirimbil, Yoocomble, Yoocumbill, Yookambul, Yookumbil, Yookumbill, Yookumble, Yookumbul, Yucomble, Yugarabul, Yugumbil, Yukambal, Yukambil, Yukumba, Yukumbil, Yukumbul, Yurimbil","Yugambal language E11","Yugambal people E11","-29.757441239373","151.05011430544","NSW","https://collection.aiatsis.gov.au/austlang/language/e11"
"E12","Bundjalung^ ","Bandjalang, Arakwal, Badjulung, Banjalang, Birihn, Dinggabal, Geinyan, Gidabal, Jukambal, Jukambe, Kalibal, Keinjun, Kitabal, Minjunbal, Ngarahgwal, Nyangbal, Wahlubal, Widjubal, Wiyabal, Wudjehbal, Yugambeh, Badjalang, Badjelang, Bandjalong, Bandjelang, Bandyalang, Bandjalung, Bunjalung, Wuhyebal","Bundjalung language E12","Bundjalung people E12","-29.251261354257","153.07515373674","NSW","https://collection.aiatsis.gov.au/austlang/language/e12"
"E13","Arakwal ","Aragwal, Arakawal, Coo al, Gundurima, Jahwun Jere, Jawjumjeri, Kagung, Kahwul, Kogung, Lismore tribe, Naiang, Njung, Nyung, Tugurimba, Yawkum yore, Gundurimba, Jawhumjeri, Yawkum yere","Arakwal language E13","Arakwal people E13","","","","https://collection.aiatsis.gov.au/austlang/language/e13"
"E14","Gidhabal ","Githabul, Gidabal, Bandjalang, Kidabal, Kidjabal, Kita bool, Kittabool, Kitabool, Kitapul, Gidabul, Gidjoobal, Kuttibul, Noowidal","Gidhabal language E14","Gidhabal people E14","-28.501057231671","152.32034553453","NSW","https://collection.aiatsis.gov.au/austlang/language/e14"
"E15","Galibal ","Galival, Kalibal, Moorung moobar, Murwillumbah","Galibal language E15","Galibal people E15","-28.533264350058","152.86681397041","NSW,QLD","https://collection.aiatsis.gov.au/austlang/language/e15"
"E15.1","Wiyabal ","","","","-28.732615276778","153.23610975968","NSW","https://collection.aiatsis.gov.au/austlang/language/e15_1"
"E16","Wiyabal ","Wudjeebal, Buggula, Ettrick tribe, Noowidal, Nowgyjul, Waibra, Wailbra, Watchee, Watji, Widjabal, Widje, Wijabal, Wuje, Wudjebal","Wiyabal language E16","Wiyabal people E16","-29.308028778101","152.22822492229","NSW","https://collection.aiatsis.gov.au/austlang/language/e16"
"E16.1","Dinggabal ","","Dinggabal language E16.1","Dinggabal people E16.1","-28.737752812117","152.28443782047","NSW","https://collection.aiatsis.gov.au/austlang/language/e16.1"
"E16.2","Wahlubal","Waalubal, We:labal, Welabal, Baryugal","Wahlubal language E16.2","","-28.88761183938","152.50792193364","NSW","https://collection.aiatsis.gov.au/austlang/language/e16_2"
"E17","Yugambeh ","Yugumbir, Yugambal, Chepara, Chipara, Cudgingberry, Gando Minjang, Gandowal, Gendo, Gindobal, Goodjingburra, Jugambal, Jugambeir, Jugumbir, Jukam, Jukamba, Jukambe, Manaldja:li, Minjambuta, Minjangbal, Minjungbal, Minyambuta, Minyowa, Minyung, Mogul lumbitch, Ngandowul, Tjapera, Tjipara, Yögum, Yoocum, Yoocumbah, Yugambir, Yuggum, Yugimbir, Yukambe, Yukum, Yukumbir, Yugumbal, Yugumbee, Gurgun Mibinyah","Yugambeh language E17","Yugambeh people E17","-28.09452768919","152.98125597436","QLD","https://collection.aiatsis.gov.au/austlang/language/e17"
"E18","Minyangbal ","Minjangbal, Yugambal, Minjanbal, Boggangar, Minyowa, Minyung, Wangerriburra, Minjungbal, Gendo, Gando Minjang, Gan dowal, Ngandowul, Cudgingberry, Cood jingburra","Minyangbal language E18","Minyangbal people E18","-28.554389638963","153.4981193759","NSW,QLD","https://collection.aiatsis.gov.au/austlang/language/e18"
"E19","Jandai ","Janday, Coobenpil, Djandai, Djandawal, Djendewal, Dsandai, Goenpul, Jendairwal, Jundai, Koenpal, Koenpel, Noogoon, Tchandi, Tschandi, Quandamooka, Jandayi","Jandai language E19","Goenpul people E19","-27.772890083261","153.39910442668","QLD","https://collection.aiatsis.gov.au/austlang/language/e19"
"E2","Warrimay","Warimi, Worimi, Gringai, Gadang, Kattang, Kutthung, Gutthan, Warrimee, Warrimi, Warrimay tribe, Molo, Bahree, Karrapath, Carapath, Warrangine, Wannungine","Warrimay language E2","Warrimay people E2","-32.486841132412","151.99694638643","NSW","https://collection.aiatsis.gov.au/austlang/language/e2"
"E20","Duungidjawu ","Wakawaka, Dungidjau, Dalla, Ngoera, Jarbu, Jinibara, Jinibarra, Djunggidjau","Duungidjawu language E20","Duungidjawu people E20","-26.973148636344","152.57414043031","QLD","https://collection.aiatsis.gov.au/austlang/language/e20"
"E21","Moondjan ","Nunagal, Moonjan, Yuggera, Nunukul, Gowar, Jagara, Koenpul, Ngugi, Turrubul, Yagara, Gundjun, Koko Kuntjan, Koko wansin, Kokoyan, Koonjan, Kundjan, Kundjin, Kunjen, Kunjin, Mundjan, Ngundjan, Noonuccal, Noonuckle, Noonukul, Nununkul, Okundjain, Nunungal, Quandamooka","Moondjan language E21","Noonuccal people E21","-27.472157289981","153.46907862431","QLD","https://collection.aiatsis.gov.au/austlang/language/e21"
"E22","Ngoera ","Wakawaka, Kaiabara, Njalbo, Dalla, Gayabara, Dalambara, Dallanbarah, Ngoera for Dalla, Kaia, Cooyar Range, Mount, Kaibara, Koiabara, Cooyarbara, Kaiyabora, Kia bara, Bujibara, Bujiebara, Booy ieburra, Buijibara, Bujibada for Kaiabara","Ngoera language E22","Ngoera people E22","-27.069052104844","152.35934257358","QLD","https://collection.aiatsis.gov.au/austlang/language/e22"
"E23","Yuggera","Yugara, Yagara, Yuggera, Gowar, Jagara, Koenpul, Ngugi, Nunukul, Turrubul, Biriin, Djanda, Jagarabal, Jandai, Jergarbal, Jinibara, Jinibarra, Nighi, Terabul, Torbul, Turibul, Turrbal, Turrubal, Turubul, Yackarabul, Yagarabal, Yagarabul, Yaggara, Yerongban, Yeronghan, Yerongpan, Yiniburra, Yugarabal, Yugg ari, Yuggara, Jagera, Tor bul, Ninghi, Quandamooka","Yuggera language E23","Yuggera people E23","-27.708545143454","152.54684067589","QLD","https://collection.aiatsis.gov.au/austlang/language/e23"
"E24","Buyibara ","Bujibada, Buyibada, Kaiabara, Kaia, Cooyar Range, Mount, Kaibara, Koiabara, Cooyarbara, Kaiyabora, Kia bara, Bujibara, Bujiebara, Booy ieburra, Buijibara","Buyibara language E24","Buyibara people E24","-27.22108106189","152.92819233587","QLD","https://collection.aiatsis.gov.au/austlang/language/e24"
"E25","Dalla ","Dala, Mooloola, Dalleburra, For Dalla as a cover term  Dalla, Ngoera, Jarbu, Jinibara, Jinibarra, Djunggidjau, For Dalla horde  Dalambara, Dallanbarah","Dalla language E25","Dalla people E25","-26.775423650838","152.66843429133","QLD","https://collection.aiatsis.gov.au/austlang/language/e25"
"E26","Guwar ","Yuggera, Gowar, Jagara, Koenpul, Ngugi, Nunukul, Turrubul, Yagara, Booroo geen merrie, Chunchiburri, Coowar, Gnoogee, Gooar, Goowar, Gowr burra, Guar, Mugee, Nooghi, Wodji, Wogee, Quandamooka","Guwar language E26","Ngugi people E26","-27.167686536092","153.4003410629","QLD","https://collection.aiatsis.gov.au/austlang/language/e26"
"E27","Djagunda ","Djakunda, Barunggam, Giabal, Jarowair, Dakundair/Dakundeir/Djakunda, Djakanda, Djaka nde, Dakundair","Djagunda language E27","Djagunda people E27","-26.050348414157","150.83513689549","QLD","https://collection.aiatsis.gov.au/austlang/language/e27"
"E28","Wakka Wakka^ ","Waga Waga, Wakawaka, Waka Waka, Bujiebara, Dungibara, Dungidau, Garumga, Garumngar, Kaiabara, Enibura, Gowrburra, Koolaburra, Mungar, Nukunukubara, Wa, Wabar, Waa, Wacca Wacca, Wackar, Waka, Wakar, Wakka, Wakka wakka, Wakkar, Wakkawakka, Waku wuka, Wapa, Wilili, Wililililee, Willillee, Woga, Wogga, Wokka, Wokkari, Wuka Wuka, Wuli wuli, Wulili, Wagawaga, Woka, Wakar/Wackar, Woka Woka","Wakka Wakka language E28","Wakka Wakka people E28","-26.451334117667","151.90302899292","QLD","https://collection.aiatsis.gov.au/austlang/language/e28"
"E29","Gubbi Gubbi ","Gabi Gabi, Dippil, Dallambara, Dowarbara, Dulingbara, Kabi Kabi, Nalbo, Undanbi, Cabbee, Cabee, Carby, Carby carbery, Dhapil, Dhipil, Dipple, Doon dooburra, Doondoora, Dowarburra, Dundu:ra, Dundubara, Gabi, Gabigabi, Kabbi, Kabi, Kabikabi, Kahby, Karabi, Karbi, Maiba","Gubbi Gubbi language E29","Gubbi Gubbi people E29","-26.005603296372","152.66753734609","QLD","https://collection.aiatsis.gov.au/austlang/language/e29"
"E3","Birrbay","Birpai, Birpay, Worimi, Birbay, Biripi, Biribi, Birippi, Birrapee, Birripai, Birripi, Bripi, Brippai, Waw wyper, Biribai, Birrbay, Gathang, Kattang","Birrbay language E3","Birrbay people E3","-31.646951417434","152.13401595302","NSW","https://collection.aiatsis.gov.au/austlang/language/e3"
"E30","Butchulla ","Batjala, Badjala, Badtjala, Ngulungbara, Badjela, Patyala, Badtala, Batyala, Badyala, Bidhala, Dulingbara, Thoorgine for Batjala, Olongbura, Gnoolongbara, Koolaburra for Ngulungbara","Butchulla language E30","Butchulla people E30","-25.337220044704","153.03282012261","QLD","https://collection.aiatsis.gov.au/austlang/language/e30"
"E31","Yiman ","Jiman, Emon, Iman, Jimun, Nimmi, Yimun, Yeeman, Yiiman","Yiman language E31","Yiman people E31","-25.589029372401","149.57709835433","QLD","https://collection.aiatsis.gov.au/austlang/language/e31"
"E32","GOORENG GOORENG","Gureng Gureng, Goeng, Koreng Goreng, Taribulung, Tulua, Corine, Curang Curang, Curang gurang, Goonine, Goorang Goorang, Gurang, Gurang Gurang, Kooranga, Koreng, Koreng Koreng, Korenggoreng, Korrengkorreng, Korrlup, Kuriny, Kurranga, Maroonee, Meeroni, Meerooni, Qualup tribe, Warangu, Wide Bay tribe, Yamma, YungkonoCaracterrup, Goreng Goreng, Curanggurang, Guranggurang, Gooranggorang, Gurenggureng, Koreng koreng, Gureng gureng Curang gurang, Gurang gurang, Goorang goorang","Gooreng Gooreng language E32","Gooreng Gooreng people E32","-24.904800693498","151.79031501814","QLD","https://collection.aiatsis.gov.au/austlang/language/e32"
"E33","Taribelang ","Gureng Gureng, Taribulung, Goeng, Koreng Goreng, Tulua, Daribelum, Darpil, Ginginburra, Taribeleng, Tarribelung, Wokka, Wokkari, Yawai, Yawaim, Daribalang >Goeng goeng, Daribalang","Taribelang language E33","Taribelang people E33","-24.807331363966","152.03889919957","QLD","https://collection.aiatsis.gov.au/austlang/language/e33"
"E35","Gungabula ","Kongabula, Gongabula, Khungabula, Khungabulal, Kungalburra, Ongabula","Gungabula language E35","Gungabula people E35","-25.599573240252","148.64372520145","QLD","https://collection.aiatsis.gov.au/austlang/language/e35"
"E36","Goeng Goeng ","Guweng Guweng, Coonine, Goeng, Maroonee, Meeroni, Daribalang >Goeng goeng, Goonine, Guweng, Yungkono, GurangGurang, Meerooni, Wide Bay tribe, Yamma","Goeng Goeng language E36","Goeng Goeng people E36","-24.266885815131","151.68168772042","QLD","https://collection.aiatsis.gov.au/austlang/language/e36"
"E37","Bidjara / Bidyara","Pitjara, Bidjera, Bithara, Bitjara, Minkabari, Peachera, Peechera, Pitteroo, Wilya, Bitharra","Bidjara / Bidyara language E37","Bidjara / Bidyara people E37","-24.903186585911","147.12130691422","QLD","https://collection.aiatsis.gov.au/austlang/language/e37"
"E38","Garaynbal","Garanjbal, Garingbal, Karingbal, Kainbul, Kaingbul, Kanalloo, Kanoloo, Kanolu, Karingbool, Karranbal, Karranbal; man","Garaynbal language E38","Garaynbal people E38","-23.330161348978","149.1337003446","QLD","https://collection.aiatsis.gov.au/austlang/language/e38"
"E39","Wadjigu","Wadja, Wadju, Maudalgo, Wadjainggo, Waindjago, Wainggo, Wainjago, Wainjigo, Wadya, Watjigu","Wadjigu language E39 ","Wadjigu people E39","-24.808523639971","148.57335257653","QLD","https://collection.aiatsis.gov.au/austlang/language/e39"
"E4","Ngaku ","Ngaagu, Dainggatti, Dainggati, Dhan gadi, Dunghutti, Thungutti, Ngagu, Niungacko","Ngaku language E4","Ngaku people E4","-31.069534687534","152.9340119278","NSW","https://collection.aiatsis.gov.au/austlang/language/e4"
"E40","Gangulu ","Kaangooloo, Kangulu, Kanolu, Cangoolootha, Gangu, Kangalo, Kangool lo, Khangalu, Kongalu, Konguli, Kongulu, Khang, Ghangulu, Ghungalu, Ka ngool lo","Gangulu language E40","Gangulu people E40","-24.186069748369","150.15143203191","QLD","https://collection.aiatsis.gov.au/austlang/language/e40"
"E41","Tulua ","Dappil, Gureng Gureng, Goeng, Koreng Goreng, Taribulung, Dulua, Toolooa, Dandan, Narung","Tulua language E41","Tulua people E41","-24.389852170929","150.99900015219","QLD","https://collection.aiatsis.gov.au/austlang/language/e41"
"E42","Baiali","Bayali, Byellee, Bajali, Bayelle, Biele, Bieli, Byelle, Byellel, Orambul, Urambal","Baiali language E42","Baiali people E42","-23.643690744","150.88523677149","QLD","https://collection.aiatsis.gov.au/austlang/language/e42"
"E43","Yagalingu ","Jagalingu, Wadjalinggu, Auanbura, Kokleburra, Owanburra, Kowanburra, Wagalbara, Wakelbara, Wakelburra, Wakelbura","Yagalingu language E43","Yagalingu people E43","-23.156857996936","146.63293864742","QLD","https://collection.aiatsis.gov.au/austlang/language/e43"
"E44","Gayiri ","Kairi, Bimurraburra, Gahrarja, Kararya, Kari, Khararya, Khararya; Kaira Gara Gara, Ara Ara, man","Gayiri language E44","Gayiri people E44","-23.79398017051","147.89773110202","QLD","https://collection.aiatsis.gov.au/austlang/language/e44"
